zipCode,address,bathroom,bedroom,city,formattedSqft,lastSaleDate,lastSalePrice,latitude,longitude,stateCode,typeDisplay,price,formattedTruliaEstimate,,neighborhood,walkScore,transitScore,status,county
94043,2447 Tamalpais St,2,3,Mountain View,"1,280 sqft",12-Mar-14,"$1,150,000 ",37.405773,-122.10305,CA,Single-Family Home,1150000,"$1,268,000 ",,Monta Loma,,,Sold,SANTA CLARA
94043,201 Flynn Ave #22,1.5,2,Mountain View,"1,254 sqft",12-Mar-14,"$700,000 ",37.397858,-122.0612,CA,Condo,700000,"$655,000 ",,North Whisman,,,Sold,SANTA CLARA
94040,938 Clark Ave #39,2,2,Mountain View,"1,069 sqft",12-Mar-14,"$780,000 ",37.393204,-122.100105,CA,Condo,780000,"$779,000 ",,,,,Sold,SANTA CLARA
94041,725 Mariposa Ave #305,1.5,1,Mountain View,839 sqft,11-Mar-14,"$438,000 ",37.390587,-122.091385,CA,Condo,438000,"$537,000 ",,Shoreline West,,,Sold,SANTA CLARA
94040,274 Pamela Dr #7,1,1,Mountain View,644 sqft,11-Mar-14,"$375,000 ",37.38108,-122.07707,CA,Condo,375000,"$491,000 ",,Cuesta Park,,,Sold,SANTA CLARA
94040,2255 Showers Dr #225,1,1,Mountain View,814 sqft,11-Mar-14,"$575,000 ",37.407352,-122.107864,CA,Condo,575000,"$592,000 ",,The Crossings,,,Sold,SANTA CLARA
94041,62 Eldora Dr,2,3,Mountain View,"1,340 sqft",11-Mar-14,"$1,160,000 ",37.385796,-122.07079,CA,Single-Family Home,1160000,"$1,301,000 ",,Old Mountain View,,,Sold,SANTA CLARA
94043,154 Cottonwood Ct,2.5,3,Mountain View,"1,352 sqft",7-Mar-14,"$870,000 ",37.390495,-122.05933,CA,Condo,870000,"$957,000 ",,Whisman Station,,,Sold,SANTA CLARA
94040,344 Oaktree Dr #1305,2.5,2,Mountain View,"1,240 sqft",7-Mar-14,"$776,000 ",37.400288,-122.10315,CA,Condo,776000,"$801,000 ",,,,,Sold,SANTA CLARA
94040,1043 Dale Ave,,,Mountain View,"2,643 sqft",7-Mar-14,"$1,315,000 ",37.374084,-122.06298,CA,Multi-Family,1315000,"$1,346,000 ",,Cuernavaca,,,Sold,SANTA CLARA
94043,144 Chetwood Dr,2.5,2,Mountain View,"1,173 sqft",5-Mar-14,"$836,000 ",37.391705,-122.0606,CA,Condo,836000,"$842,000 ",,Whisman Station,,,Sold,SANTA CLARA
94040,173 Escuela Ave,,,Mountain View,"1,518 sqft",28-Feb-14,"$805,000 ",37.39957,-122.09186,CA,Multi-Family,805000,"$1,003,000 ",,Shoreline West,,,Sold,SANTA CLARA
94043,469 Kasra Dr,2.5,2,Mountain View,"1,594 sqft",28-Feb-14,"$850,000 ",37.38897,-122.057144,CA,Condo,850000,"$915,000 ",,Whisman Station,,,Sold,SANTA CLARA
94043,515 Easy St,,,Mountain View,"2,016 sqft",28-Feb-14,"$450,000 ",37.40286,-122.06404,CA,Multi-Family,450000,,,North Whisman,,,Sold,SANTA CLARA
94040,2025 California St #33,1,1,Mountain View,668 sqft,28-Feb-14,"$325,000 ",37.397953,-122.09857,CA,Condo,325000,"$403,000 ",,,,,Sold,SANTA CLARA
94043,519 Easy St,,,Mountain View,"2,016 sqft",28-Feb-14,"$450,000 ",37.403133,-122.06394,CA,Multi-Family,450000,,,North Whisman,,,Sold,SANTA CLARA
94041,58 Eldora Dr,2,3,Mountain View,"1,124 sqft",28-Feb-14,"$1,200,000 ",37.385727,-122.07063,CA,Single-Family Home,1200000,"$1,229,000 ",,Old Mountain View,,,Sold,SANTA CLARA
94040,1021 Varsity Ct,2,3,Mountain View,"2,215 sqft",27-Feb-14,"$1,975,000 ",37.375378,-122.09277,CA,Single-Family Home,1975000,"$2,010,000 ",,Blossom Valley,,,Sold,SANTA CLARA
94043,1935 Newbury Dr,2.5,3,Mountain View,"1,634 sqft",26-Feb-14,"$1,100,000 ",37.415943,-122.08866,CA,Condo,1100000,"$951,000 ",,,,,Sold,SANTA CLARA
94043,500 W Middlefield Rd #151,2,2,Mountain View,"1,158 sqft",26-Feb-14,"$587,000 ",37.39982,-122.07068,CA,Condo,587000,"$605,000 ",,,,,Sold,SANTA CLARA
94040,1332 Miramonte Ave,1,3,Mountain View,"1,194 sqft",25-Feb-14,"$1,253,000 ",37.380093,-122.08738,CA,Single-Family Home,1253000,"$1,421,000 ",,Blossom Valley,,,Sold,SANTA CLARA
94043,168 Georgetown Dr,2.5,3,Mountain View,"1,372 sqft",25-Feb-14,"$880,000 ",37.390713,-122.05786,CA,Condo,880000,"$883,000 ",,Whisman Station,,,Sold,SANTA CLARA
94040,1013 Karen Way,2,3,Mountain View,"1,472 sqft",21-Feb-14,"$1,610,000 ",37.392555,-122.10226,CA,Single-Family Home,1610000,"$1,621,000 ",,,,,Sold,SANTA CLARA
94040,1172 Phyllis Ave,2,3,Mountain View,"1,665 sqft",21-Feb-14,"$1,252,000 ",37.379642,-122.07804,CA,Single-Family Home,1252000,"$1,590,000 ",,Cuesta Park,,,Sold,SANTA CLARA
94040,2025 California St #13,1,2,Mountain View,796 sqft,21-Feb-14,"$388,000 ",37.39776,-122.098564,CA,Condo,388000,"$472,000 ",,,,,Sold,SANTA CLARA
94040,22527 Redcliff Ct,3.5,3,Mountain View,"2,730 sqft",21-Feb-14,"$1,810,000 ",37.37099,-122.06924,CA,Single-Family Home,1810000,"$1,994,000 ",,Waverly Park,,,Sold,SANTA CLARA
94043,77 Devonshire Ave,,,Mountain View,952 sqft,20-Feb-14,"$1,468,000 ",37.402977,-122.05889,CA,Single-Family Home,1468000,"$1,046,000 ",,North Whisman,,,Sold,SANTA CLARA
94040,2115 Sun Mor Ave,2,3,Mountain View,"1,751 sqft",20-Feb-14,"$1,657,500 ",37.37239,-122.06977,CA,Single-Family Home,1657500,"$1,838,000 ",,Martens-Carmelita,,,Sold,SANTA CLARA
94043,505 Cypress Point Dr #11,1,1,Mountain View,668 sqft,20-Feb-14,"$425,000 ",37.398163,-122.07294,CA,Condo,425000,"$428,000 ",,,,,Sold,SANTA CLARA
94040,1450 Meadow Ln,3,5,Mountain View,"2,622 sqft",19-Feb-14,"$2,045,000 ",37.379745,-122.093,CA,Single-Family Home,2045000,"$2,035,000 ",,Blossom Valley,,,Sold,SANTA CLARA
94040,2328 Carol Ave,2,4,Mountain View,"1,885 sqft",19-Feb-14,"$1,700,000 ",37.37079,-122.07519,CA,Single-Family Home,1700000,"$1,716,000 ",,Waverly Park,,,Sold,SANTA CLARA
94040,2447 Villa Nueva Way,2.5,3,Mountain View,"1,910 sqft",19-Feb-14,"$1,800,000 ",37.36904,-122.07492,CA,Single-Family Home,1800000,"$1,811,000 ",,Waverly Park,,,Sold,SANTA CLARA
94041,495 Alice Ave,2.5,4,Mountain View,"1,869 sqft",18-Feb-14,"$865,000 ",37.384506,-122.06648,CA,Single-Family Home,865000,"$1,128,000 ",,,,,Sold,SANTA CLARA
94043,1370 Montecito Ave #1,2,3,Mountain View,"1,430 sqft",18-Feb-14,"$750,000 ",37.4029,-122.08271,CA,Condo,750000,"$884,000 ",,Rex Manor,,,Sold,SANTA CLARA
94040,400 Ortega Ave #109,1,2,Mountain View,928 sqft,14-Feb-14,"$580,000 ",37.39953,-122.10568,CA,Condo,580000,"$610,000 ",,,,,Sold,SANTA CLARA
94040,400 Ortega Ave #220,2,3,Mountain View,"1,485 sqft",14-Feb-14,"$823,000 ",37.399902,-122.10569,CA,Condo,823000,"$833,000 ",,,,,Sold,SANTA CLARA
94043,505 Cypress Point Dr #12,1,1,Mountain View,662 sqft,14-Feb-14,"$395,000 ",37.398163,-122.07294,CA,Condo,395000,"$447,000 ",,,,,Sold,SANTA CLARA
94043,123 Evandale Ave #14,1,1,Mountain View,615 sqft,13-Feb-14,"$410,000 ",37.404568,-122.06103,CA,Condo,410000,"$459,000 ",,North Whisman,,,Sold,SANTA CLARA
94041,536 Mccarty Ave,2,4,Mountain View,"1,400 sqft",11-Feb-14,"$1,375,000 ",37.386124,-122.07048,CA,Single-Family Home,1375000,"$1,383,000 ",,Old Mountain View,,,Sold,SANTA CLARA
94043,1793 Vassar Ave,1,3,Mountain View,860 sqft,11-Feb-14,"$916,000 ",37.40261,-122.08793,CA,Single-Family Home,916000,"$808,000 ",,Rex Manor,,,Sold,SANTA CLARA
94043,46 Starlite Ct,2.5,4,Mountain View,"1,427 sqft",10-Feb-14,"$737,000 ",37.40608,-122.076195,CA,Condo,737000,"$797,000 ",,,,,Sold,SANTA CLARA
94040,599 Sleeper Ave,2.5,3,Mountain View,"3,247 sqft",7-Feb-14,"$2,700,000 ",37.37111,-122.07232,CA,Single-Family Home,2700000,"$2,362,000 ",,Waverly Park,,,Sold,SANTA CLARA
94041,807 Hope St,,,Mountain View,"1,744 sqft",7-Feb-14,"$1,345,000 ",37.38634,-122.08221,CA,Multi-Family,1345000,"$1,375,000 ",,Old Mountain View,,,Sold,SANTA CLARA
94040,1135 Phyllis Ave,3,3,Mountain View,"1,617 sqft",5-Feb-14,"$1,215,000 ",37.380825,-122.077484,CA,Single-Family Home,1215000,"$1,483,000 ",,Cuesta Park,,,Sold,SANTA CLARA
94040,1036 Ashley Pl,2,3,Mountain View,"1,721 sqft",4-Feb-14,"$1,603,000 ",37.392048,-122.10139,CA,Single-Family Home,1603000,"$1,602,000 ",,,,,Sold,SANTA CLARA
94043,505 Cypress Point Dr #140,1,2,Mountain View,843 sqft,4-Feb-14,"$520,000 ",37.398163,-122.07294,CA,Condo,520000,"$517,000 ",,,,,Sold,SANTA CLARA
94043,837 San Luppe Dr,2,4,Mountain View,"1,576 sqft",31-Jan-14,"$675,000 ",37.403976,-122.070404,CA,Single-Family Home,675000,"$939,000 ",,,,,Sold,SANTA CLARA
94040,956 Bonita Ave #2,1.5,2,Mountain View,"1,126 sqft",31-Jan-14,"$685,000 ",37.38299,-122.08103,CA,Condo,685000,"$817,000 ",,Cuesta Park,,,Sold,SANTA CLARA
